id,species,y,dist
1,†Cratomastotermes wolfschwenningeri,310,Distribution: Neotropical Region—Brazil: Ceará.
6,†Blattotermes massiliensis,80,Distribution: Palaearctic Region—France.
6,†Blattotermes neoxenus,233,Distribution: Australian Region—Australia: Queensland.
6,†Blattotermes wheeleri,386,Distribution: Nearctic Region—USA: Tennessee.
7,†Garmitermes succineus,187,Distribution: Palaearctic Region—Poland.
7,†Idanotermes desioculus,435,Distribution: Palaearctic Region—Poland.
8,†Khanitermes acutipennis,80,Distribution: Oriental Region—Mongolia.
9,†Mastotermes anglicus,422,Distribution: Palaearctic Region—United Kingdom: England.
10,†Mastotermes bournemouthensis,378,Distribution: Palaearctic Region—United Kingdom: England.
11,†Mastotermes croaticus,80,Distribution: Palaearctic Region—Croatia.
11,Mastotermes darwiniensis,533,"Distribution: Australian Region—Australia: Northern Territory (W Plateau), Western Australia  (N coastal)."
18,†Mastotermes haidingeri,80,Distribution: Palaearctic Region—Croatia; France.
19,†Mastotermes heerii,80,Distribution: Palaearctic Region—Germany.
19,†Mastotermes krishnorum,451,Distribution: Palaearctic Region—Germany.
19,†Mastotermes minor,606,Distribution: Palaearctic Region—Croatia.
20,†Mastotermes minutus,200,Distribution: Palaearctic Region—France.
20,†Mastotermes picardi,354,Distribution: Palaearctic Region—France.
20,†Mastotermes sarthensis,485,Distribution: Palaearctic Region—France.
23,†Miotermes randeckensis,211,Distribution: Palaearctic Region—Germany.
23,†Miotermes spectabilis,452,Distribution: Palaearctic Region—France.
26,†Mastotermites stuttgartensis,80,Distribution: Palearctic Region.
28,†Termopsis bremii,521,Distribution: Palaearctic Region—Poland: Baltic amber.
30,†Termopsis gracilipennis,489,Distribution: Palaearctic Region—France-Germany border.
31,†Termopsis mallaszi,80,Distribution: Palaearctic Region—Hungary.
31,†Termopsis transsylvanica,277,Distribution: Palaearctic Region—Hungary.
31,†Termopsis ukapirmasi,474,Distribution: Palaearctic Region—Poland.
36,Archotermopsis wroughtoni,288,"Distribution: Oriental Region—China; India: Himachal Pradesh, Jammu and Kashmir, Uttar   Pradesh; Pakistan."
43,†Parotermes insignis,569,Distribution: Nearctic Region—USA: Colorado.
45,Zootermopsis angusticollis,409,Distribution: Nearctic Region—Southwestern Canada to Northwestern Mexico.
50,†Zootermopsis coloradensis,183,Distribution: Nearctic Region—USA: Colorado.
51,Zootermopsis laticeps,80,"Distribution: Nearctic Region—Mexico: Sonora, Chihuahua; USA: Arizona, New Mexico, Texas."
52,Zootermopsis nevadensis,80,"Distribution: Nearctic Region—Mexico: Baja California; USA: California, Montana, Nevada."
55,Zootermopsis nevadensis,80,Distribution: Nearctic Region—USA: California.
62,Anacanthotermes baeckmannianus,80,Distribution: Palaearctic Region—Kazakhstan.
62,Anacanthotermes bagherii,262,Distribution: Palaearctic Region—Iran.
62,Anacanthotermes baluchistanicus,401,Distribution: Palaearctic Region—Pakistan: Baluchistan.
63,Anacanthotermes esmailii,80,Distribution: Palaearctic Region—Iran.
69,Anacanthotermes saudiensis,265,Distribution: Palaearctic Region—Saudi Arabia.
69,Anacanthotermes septentrionalis,469,Distribution: Palaearctic Region—Afghanistan; Iran; Turkmenistan.
72,Anacanthotermes vagans,80,Distribution: Palaearctic Region—Afghanistan; Iran; Iraq; Kuwait; Pakistan: Baluchistan; Saudi  Arabia.
73,Anacanthotermes viarum,395,Distribution: Oriental Region—India: Tamil Nadu; Sri Lanka.
